text,intent,query_json
"¿quién tiene mejor tiempo promedio en llegar, taller b o taller maría?",COMPARE,"{""intent"": ""COMPARE"", ""entity"": ""taller"", ""metric"": ""avg_llegada"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""compare"": [""taller B"", ""taller María""], ""visualization"": ""bar""}"
Gráfica de tendencia de servicios asignados de accidente en los últimos 3 meses?,TREND,"{""intent"": ""TREND"", ""entity"": ""asignacion"", ""metric"": ""count"", ""group_by"": ""time"", ""filters"": {""tipo_codigo"": ""CHOQUE""}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""line""}"
Gráfico de líneas de pagos del último trimestre?,TREND,"{""intent"": ""TREND"", ""entity"": ""pago"", ""metric"": ""avg_calificacion"", ""group_by"": ""time"", ""filters"": {""tipo_codigo"": ""OTROS""}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""line""}"
¿cuál es la evolución de asignaciones hoy?,TREND,"{""intent"": ""TREND"", ""entity"": ""asignacion"", ""metric"": ""count"", ""group_by"": ""time"", ""filters"": {}, ""time_range"": ""hoy"", ""visualization"": ""line""}"
Muéstrame en un mapa los talleres en 2025?,MAP,"{""intent"": ""MAP"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {""tipo_codigo"": ""LLANTA""}, ""time_range"": ""ultimo_anio"", ""visualization"": ""map""}"
¿cuál es la diferencia de total de ingresos entre taller a y taller lento?,COMPARE,"{""intent"": ""COMPARE"", ""entity"": ""taller"", ""metric"": ""total_ingresos"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""compare"": [""taller A"", ""taller Lento""], ""visualization"": ""bar""}"
Muéstrame la tendencia de reportes en la última semana?,TREND,"{""intent"": ""TREND"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""time"", ""filters"": {""estado"": ""EN_ATENCION""}, ""time_range"": ""ultima_semana"", ""visualization"": ""line""}"
Muéstrame todos los cobros de choque?,LIST,"{""intent"": ""LIST"", ""entity"": ""pago"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""CHOQUE""}, ""time_range"": ""hoy"", ""limit"": 10, ""visualization"": ""table""}"
¿qué tiempo promedio para asignar se registra por ubicación el último mes?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""incidente"", ""metric"": ""avg_asignacion"", ""group_by"": ""zona"", ""filters"": {""tipo_codigo"": ""OTROS""}, ""time_range"": ""ultimo_mes"", ""visualization"": ""bar""}"
¿quiénes son los mejores talleres en comisiones cobradas?,RANKING,"{""intent"": ""RANKING"", ""entity"": ""taller"", ""metric"": ""total_comisiones"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""CHOQUE""}, ""time_range"": ""none"", ""limit"": 5, ""order"": ""desc"", ""visualization"": ""horizontal_bar""}"
¿cuántas talleres de accidente hubo hoy?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""CHOQUE""}, ""time_range"": ""hoy"", ""visualization"": ""kpi_card""}"
Cuéntame cuántos asignaciones del último trimestre?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""asignacion"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""kpi_card""}"
¿puedo ver los mecánicos sur el día de ayer?,LIST,"{""intent"": ""LIST"", ""entity"": ""tecnico"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {""zona"": ""sur""}, ""time_range"": ""ayer"", ""limit"": 50, ""visualization"": ""table""}"
Evolución temporal de incidentes?,TREND,"{""intent"": ""TREND"", ""entity"": ""incidente"", ""metric"": ""tasa_rechazo"", ""group_by"": ""time"", ""filters"": {}, ""time_range"": ""hoy"", ""visualization"": ""line""}"
¿qué tendencia muestran los servicios asignados en el último mes?,TREND,"{""intent"": ""TREND"", ""entity"": ""asignacion"", ""metric"": ""avg_asignacion"", ""group_by"": ""time"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""line""}"
¿cuáles son los 10 técnicos con mejor total pagado?,RANKING,"{""intent"": ""RANKING"", ""entity"": ""tecnico"", ""metric"": ""sum_monto"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""BATERIA""}, ""time_range"": ""none"", ""limit"": 10, ""order"": ""desc"", ""visualization"": ""horizontal_bar""}"
Dime el cuánto se ha facturado de los técnicos del sur?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""tecnico"", ""metric"": ""total_ingresos"", ""group_by"": ""zona"", ""filters"": {""zona"": ""sur""}, ""time_range"": ""ultima_semana"", ""visualization"": ""bar""}"
¿qué cantidad de emergencias hoy?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""hoy"", ""visualization"": ""kpi_card""}"
¿cuántos cobros el último mes?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""pago"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""kpi_card""}"
¿en qué zonas hay más talleres de accidente?,MAP,"{""intent"": ""MAP"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {""tipo_codigo"": ""CHOQUE""}, ""time_range"": ""ultimo_mes"", ""visualization"": ""map""}"
Evolución temporal de reportes por problema de batería?,TREND,"{""intent"": ""TREND"", ""entity"": ""incidente"", ""metric"": ""sum_monto"", ""group_by"": ""time"", ""filters"": {""tipo_codigo"": ""BATERIA""}, ""time_range"": ""ultima_semana"", ""visualization"": ""line""}"
Dame el listado de servicios asignados por pinchazo del último trimestre?,LIST,"{""intent"": ""LIST"", ""entity"": ""asignacion"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""LLANTA""}, ""time_range"": ""ultimo_trimestre"", ""limit"": 20, ""visualization"": ""table""}"
¿qué tiempo medio de llegada se registra por tipo de incidente en 2025?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""taller"", ""metric"": ""avg_llegada"", ""group_by"": ""tipo_codigo"", ""filters"": {""zona"": ""este""}, ""time_range"": ""ultimo_anio"", ""visualization"": ""bar""}"
Mapa de calor de establecimientos del mes pasado?,MAP,"{""intent"": ""MAP"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""map""}"
Dime el total de talleres por pinchazo el día de hoy?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""LLANTA""}, ""time_range"": ""hoy"", ""visualization"": ""kpi_card""}"
¿qué transacciones ayer hay?,LIST,"{""intent"": ""LIST"", ""entity"": ""pago"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ayer"", ""limit"": 20, ""visualization"": ""table""}"
¿en qué zonas hay más reportes ?,MAP,"{""intent"": ""MAP"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {}, ""time_range"": ""hoy"", ""visualization"": ""map""}"
Dibuja los talleres en un mapa?,MAP,"{""intent"": ""MAP"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""map""}"
¿cómo evolucionó el comisiones cobradas de los servicios asignados en esta semana?,TREND,"{""intent"": ""TREND"", ""entity"": ""asignacion"", ""metric"": ""total_comisiones"", ""group_by"": ""time"", ""filters"": {}, ""time_range"": ""ultima_semana"", ""visualization"": ""line""}"
Ordéname los emergencias por cuánto tardan en llegar de mayor a menor?,RANKING,"{""intent"": ""RANKING"", ""entity"": ""incidente"", ""metric"": ""avg_llegada"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""limit"": 10, ""order"": ""desc"", ""visualization"": ""horizontal_bar""}"
¿qué tendencia muestran los asignaciones este día?,TREND,"{""intent"": ""TREND"", ""entity"": ""asignacion"", ""metric"": ""tasa_rechazo"", ""group_by"": ""time"", ""filters"": {}, ""time_range"": ""hoy"", ""visualization"": ""line""}"
¿cuáles son los 20 mecánicos con mejor cuántas?,RANKING,"{""intent"": ""RANKING"", ""entity"": ""tecnico"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""limit"": 20, ""order"": ""desc"", ""visualization"": ""horizontal_bar""}"
¿cuál es la diferencia de cuánto gana la plataforma entre taller pedro y taller este?,COMPARE,"{""intent"": ""COMPARE"", ""entity"": ""taller"", ""metric"": ""total_comisiones"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""compare"": [""taller Pedro"", ""taller Este""], ""visualization"": ""bar""}"
¿cuál es el facturación total de los cobros de colisión el último mes?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""pago"", ""metric"": ""total_ingresos"", ""group_by"": ""estado"", ""filters"": {""tipo_codigo"": ""CHOQUE""}, ""time_range"": ""ultimo_mes"", ""visualization"": ""bar""}"
Dame el ranking de técnicos por comisión de la plataforma?,RANKING,"{""intent"": ""RANKING"", ""entity"": ""tecnico"", ""metric"": ""total_comisiones"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""CHOQUE""}, ""time_range"": ""none"", ""limit"": 50, ""order"": ""desc"", ""visualization"": ""horizontal_bar""}"
¿cómo se comparan taller juan y taller maría en cuántas?,COMPARE,"{""intent"": ""COMPARE"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""compare"": [""taller Juan"", ""taller María""], ""visualization"": ""bar""}"
Lista los servicios asignados en junio?,LIST,"{""intent"": ""LIST"", ""entity"": ""asignacion"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""limit"": 20, ""visualization"": ""table""}"
Mapa de reportes?,MAP,"{""intent"": ""MAP"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {}, ""time_range"": ""ayer"", ""visualization"": ""map""}"
Dibuja los talleres de batería en un mapa?,MAP,"{""intent"": ""MAP"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {""tipo_codigo"": ""BATERIA""}, ""time_range"": ""ultimo_anio"", ""visualization"": ""map""}"
Compara el tiempo promedio de llegada entre taller juan y taller maría?,COMPARE,"{""intent"": ""COMPARE"", ""entity"": ""taller"", ""metric"": ""avg_llegada"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""compare"": [""taller Juan"", ""taller María""], ""visualization"": ""bar""}"
¿cómo ha cambiado el tiempo promedio de asignación del último trimestre?,TREND,"{""intent"": ""TREND"", ""entity"": ""asignacion"", ""metric"": ""avg_asignacion"", ""group_by"": ""time"", ""filters"": {""tipo_codigo"": ""OTROS""}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""line""}"
¿en qué zonas hay más reportes alta prioridad?,MAP,"{""intent"": ""MAP"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {""prioridad"": ""ALTA""}, ""time_range"": ""ayer"", ""visualization"": ""map""}"
¿cuántas emergencias activos hubo el día de ayer?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {""estado"": ""EN_ATENCION""}, ""time_range"": ""ayer"", ""visualization"": ""kpi_card""}"
Explica el comportamiento de reportes en mayo?,EXPLAIN,"{""intent"": ""EXPLAIN"", ""entity"": ""incidente"", ""metric"": ""avg_llegada"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""text""}"
Muéstrame todos los cobros?,LIST,"{""intent"": ""LIST"", ""entity"": ""pago"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultima_semana"", ""limit"": 50, ""visualization"": ""table""}"
Explica el comportamiento de servicios asignados en la última semana?,EXPLAIN,"{""intent"": ""EXPLAIN"", ""entity"": ""asignacion"", ""metric"": ""total_comisiones"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultima_semana"", ""visualization"": ""text""}"
Muéstrame la tendencia de servicios asignados en el último mes?,TREND,"{""intent"": ""TREND"", ""entity"": ""asignacion"", ""metric"": ""tasa_rechazo"", ""group_by"": ""time"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""line""}"
¿quiénes son los mejores mecánicos en monto total?,RANKING,"{""intent"": ""RANKING"", ""entity"": ""tecnico"", ""metric"": ""sum_monto"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""limit"": 20, ""order"": ""desc"", ""visualization"": ""horizontal_bar""}"
¿cuáles son los auxiliares del este con más rating promedio?,RANKING,"{""intent"": ""RANKING"", ""entity"": ""tecnico"", ""metric"": ""avg_calificacion"", ""group_by"": ""none"", ""filters"": {""zona"": ""este""}, ""time_range"": ""none"", ""limit"": 20, ""order"": ""desc"", ""visualization"": ""horizontal_bar""}"
Ranking de reportes de llanta por ganancias?,RANKING,"{""intent"": ""RANKING"", ""entity"": ""incidente"", ""metric"": ""total_ingresos"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""LLANTA""}, ""time_range"": ""none"", ""limit"": 5, ""order"": ""desc"", ""visualization"": ""horizontal_bar""}"
¿por qué el ganancias está así?,EXPLAIN,"{""intent"": ""EXPLAIN"", ""entity"": ""incidente"", ""metric"": ""total_ingresos"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultima_semana"", ""visualization"": ""text""}"
¿cómo se comportó el cuánto se ha pagado del último mes?,TREND,"{""intent"": ""TREND"", ""entity"": ""incidente"", ""metric"": ""sum_monto"", ""group_by"": ""time"", ""filters"": {""tipo_codigo"": ""OTROS""}, ""time_range"": ""ultimo_mes"", ""visualization"": ""line""}"
¿cómo se distribuyen geográficamente los reportes normales?,MAP,"{""intent"": ""MAP"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {""prioridad"": ""MEDIA""}, ""time_range"": ""ultima_semana"", ""visualization"": ""map""}"
¿cómo se distribuyen geográficamente los establecimientos de accidente?,MAP,"{""intent"": ""MAP"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {""tipo_codigo"": ""CHOQUE""}, ""time_range"": ""ultimo_mes"", ""visualization"": ""map""}"
¿cuántos incidentes esta semana?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultima_semana"", ""visualization"": ""kpi_card""}"
Tendencia de servicios asignados en el tiempo?,TREND,"{""intent"": ""TREND"", ""entity"": ""asignacion"", ""metric"": ""avg_llegada"", ""group_by"": ""time"", ""filters"": {}, ""time_range"": ""ayer"", ""visualization"": ""line""}"
Evolución temporal de cobros?,TREND,"{""intent"": ""TREND"", ""entity"": ""pago"", ""metric"": ""total_ingresos"", ""group_by"": ""time"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""line""}"
Lista los reportes por falla de motor en el último trimestre?,LIST,"{""intent"": ""LIST"", ""entity"": ""incidente"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""MOTOR""}, ""time_range"": ""ultimo_trimestre"", ""limit"": 100, ""visualization"": ""table""}"
¿cómo ha cambiado el tiempo promedio en llegar en el último trimestre?,TREND,"{""intent"": ""TREND"", ""entity"": ""incidente"", ""metric"": ""avg_llegada"", ""group_by"": ""time"", ""filters"": {""tipo_codigo"": ""MOTOR""}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""line""}"
¿qué asignaciones durante el último mes hay?,LIST,"{""intent"": ""LIST"", ""entity"": ""asignacion"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""limit"": 10, ""visualization"": ""table""}"
Dame el listado de incidentes resueltos en el día de hoy?,LIST,"{""intent"": ""LIST"", ""entity"": ""incidente"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {""estado"": ""FINALIZADO""}, ""time_range"": ""hoy"", ""limit"": 50, ""visualization"": ""table""}"
Necesito saber el número de incidentes centro ayer?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {""zona"": ""centro""}, ""time_range"": ""ayer"", ""visualization"": ""kpi_card""}"
Comparativa de comisiones totales entre taller a y taller este?,COMPARE,"{""intent"": ""COMPARE"", ""entity"": ""taller"", ""metric"": ""total_comisiones"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""compare"": [""taller A"", ""taller Este""], ""visualization"": ""bar""}"
¿en qué zonas hay más incidentes finalizados?,MAP,"{""intent"": ""MAP"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {""estado"": ""FINALIZADO""}, ""time_range"": ""ayer"", ""visualization"": ""map""}"
El total de talleres en el último trimestre?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""kpi_card""}"
Cuéntame cuántos servicios asignados oeste hoy?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""asignacion"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {""zona"": ""oeste""}, ""time_range"": ""hoy"", ""visualization"": ""kpi_card""}"
¿puedo ver los asignaciones de batería descargada el día de ayer?,LIST,"{""intent"": ""LIST"", ""entity"": ""asignacion"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""BATERIA""}, ""time_range"": ""ayer"", ""limit"": 10, ""visualization"": ""table""}"
Top 25 reportes de batería descargada por comisiones cobradas?,RANKING,"{""intent"": ""RANKING"", ""entity"": ""incidente"", ""metric"": ""total_comisiones"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""BATERIA""}, ""time_range"": ""none"", ""limit"": 25, ""order"": ""desc"", ""visualization"": ""horizontal_bar""}"
Explica el comportamiento de reportes durante el año?,EXPLAIN,"{""intent"": ""EXPLAIN"", ""entity"": ""incidente"", ""metric"": ""total_ingresos"", ""group_by"": ""none"", ""filters"": {""zona"": ""centro""}, ""time_range"": ""ultimo_anio"", ""visualization"": ""text""}"
Dime las diferencias de tiempo promedio de llegada entre taller rápido y taller oeste?,COMPARE,"{""intent"": ""COMPARE"", ""entity"": ""taller"", ""metric"": ""avg_llegada"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""compare"": [""taller Rápido"", ""taller Oeste""], ""visualization"": ""bar""}"
¿qué cuánto gana la plataforma se registra por estatus el día de ayer?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""taller"", ""metric"": ""total_comisiones"", ""group_by"": ""estado"", ""filters"": {}, ""time_range"": ""ayer"", ""visualization"": ""bar""}"
¿cuál es la cantidad de asignaciones en esta semana?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""asignacion"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""CHOQUE""}, ""time_range"": ""ultima_semana"", ""visualization"": ""kpi_card""}"
Muéstrame en un mapa los incidentes ayer?,MAP,"{""intent"": ""MAP"", ""entity"": ""incidente"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {""estado"": ""EN_ATENCION""}, ""time_range"": ""ayer"", ""visualization"": ""map""}"
Dime el suma de montos de los talleres?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""taller"", ""metric"": ""sum_monto"", ""group_by"": ""semana"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""bar""}"
¿qué qué tan bien calificados están se registra por categoría en 2026?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""incidente"", ""metric"": ""avg_calificacion"", ""group_by"": ""tipo_codigo"", ""filters"": {""estado"": ""FINALIZADO""}, ""time_range"": ""ultimo_anio"", ""visualization"": ""bar""}"
Dime las diferencias de ganancias entre taller lento y taller este?,COMPARE,"{""intent"": ""COMPARE"", ""entity"": ""taller"", ""metric"": ""total_ingresos"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""compare"": [""taller Lento"", ""taller Este""], ""visualization"": ""bar""}"
¿qué cantidad de talleres esta semana?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultima_semana"", ""visualization"": ""kpi_card""}"
¿cuál es el cuánto tarda en asignar de los establecimientos otros en mayo?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""taller"", ""metric"": ""avg_asignacion"", ""group_by"": ""mes"", ""filters"": {""tipo_codigo"": ""OTROS""}, ""time_range"": ""ultimo_mes"", ""visualization"": ""bar""}"
¿cuántas mecánicos de motor dañado hubo en junio?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""tecnico"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""MOTOR""}, ""time_range"": ""ultimo_mes"", ""visualization"": ""kpi_card""}"
Ver técnicos?,LIST,"{""intent"": ""LIST"", ""entity"": ""tecnico"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultimo_anio"", ""limit"": 10, ""visualization"": ""table""}"
Tendencia de emergencias de motor en el tiempo?,TREND,"{""intent"": ""TREND"", ""entity"": ""incidente"", ""metric"": ""avg_calificacion"", ""group_by"": ""time"", ""filters"": {""tipo_codigo"": ""MOTOR""}, ""time_range"": ""ayer"", ""visualization"": ""line""}"
Compara el tiempo medio de asignación entre taller pedro y taller ana?,COMPARE,"{""intent"": ""COMPARE"", ""entity"": ""taller"", ""metric"": ""avg_asignacion"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""compare"": [""taller Pedro"", ""taller Ana""], ""visualization"": ""bar""}"
El ganancias de los técnicos en el último mes?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""tecnico"", ""metric"": ""total_ingresos"", ""group_by"": ""taller_id"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""bar""}"
¿qué cantidad de técnicos del oeste durante el año?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""tecnico"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {""zona"": ""oeste""}, ""time_range"": ""ultimo_anio"", ""visualization"": ""kpi_card""}"
¿cuál es la cantidad de asignaciones en el último mes?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""asignacion"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {""zona"": ""este""}, ""time_range"": ""ultimo_mes"", ""visualization"": ""kpi_card""}"
¿cuál es la razón del aumento de reportes el día de hoy?,EXPLAIN,"{""intent"": ""EXPLAIN"", ""entity"": ""incidente"", ""metric"": ""avg_calificacion"", ""group_by"": ""none"", ""filters"": {""zona"": ""oeste""}, ""time_range"": ""hoy"", ""visualization"": ""text""}"
¿cómo va el cuánto tarda en asignar zona norte este mes?,TREND,"{""intent"": ""TREND"", ""entity"": ""asignacion"", ""metric"": ""avg_asignacion"", ""group_by"": ""time"", ""filters"": {""zona"": ""norte""}, ""time_range"": ""ultima_semana"", ""visualization"": ""line""}"
¿cuántos mecánicos registraron el último trimestre?,COUNT,"{""intent"": ""COUNT"", ""entity"": ""tecnico"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""kpi_card""}"
Los talleres con mayor cuántos?,RANKING,"{""intent"": ""RANKING"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""none"", ""filters"": {""zona"": ""norte""}, ""time_range"": ""none"", ""limit"": 20, ""order"": ""desc"", ""visualization"": ""horizontal_bar""}"
¿qué causó el cambio en facturación total en el último trimestre?,EXPLAIN,"{""intent"": ""EXPLAIN"", ""entity"": ""pago"", ""metric"": ""total_ingresos"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""BATERIA""}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""text""}"
